TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
MINERA PACHAPAQUI S.A.C.;PACHAPAQUI;ANCASH;BOLOGNESI;AQUIA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;6/01/2002;6/01/2002
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/01/2002;6/01/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;7/01/2002;7/01/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;7/01/2002;7/01/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;7/01/2002;8/01/2002
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;14/01/2002;14/01/2002
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;19/01/2002;19/01/2002
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/01/2002;23/01/2002
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/01/2002;23/01/2002
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/01/2002;25/01/2002
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/01/2002;23/01/2002
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/01/2002;23/01/2002
MINERA HUINAC S.A.C.;ADMIRADA-ATILA;ANCASH;AIJA;LA MERCED;ACARREO Y TRANSPORTE;Pequeña Minería;25/01/2002;25/01/2002
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;CAÍDAS DE PERSONAS;Gran y Mediana Minería;27/01/2002;27/01/2002
SHOUGANG HIERRO PERU S.A.A.;CPS 1;ICA;NASCA;MARCONA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;28/01/2002;28/01/2002
SHOUGANG HIERRO PERU S.A.A.;CPS 1;ICA;NASCA;MARCONA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;28/01/2002;28/01/2002
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;MARTA;HUANCAVELICA;HUANCAVELICA;HUANDO;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;29/01/2002;29/01/2002
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;29/01/2002;29/01/2002
